Date,SPY,QQQ
2020-01-02,304.1135559082031,210.6053924560547
2020-01-03,301.81072998046875,208.67626953125
2020-01-06,302.962158203125,210.02076721191406
2020-01-07,302.1102600097656,209.9915771484375
2020-01-08,303.7204284667969,211.56991577148438
2020-01-09,305.77984619140625,213.36265563964844
2020-01-10,304.89984130859375,212.8170623779297
2020-01-13,306.99676513671875,215.27227783203125
2020-01-14,306.5287170410156,214.4246063232422
2020-01-15,307.2214050292969,214.5123291015625
2020-01-16,309.7770080566406,216.568115234375
2020-01-17,310.7412414550781,217.63986206054688
2020-01-21,310.1326904296875,217.54244995117188
2020-01-22,310.17010498046875,218.11727905273438
2020-01-23,310.5258483886719,218.81875610351562
2020-01-24,307.764404296875,216.97732543945312
2020-01-27,302.8310241699219,212.4955291748047
2020-01-28,306.0045166015625,215.7594451904297
2020-01-29,305.751708984375,216.11021423339844
2020-01-30,306.7440490722656,216.87989807128906
2020-01-31,301.1741638183594,213.44061279296875
2020-02-03,303.4114990234375,216.66558837890625
2020-02-04,308.03582763671875,221.62474060058594
2020-02-05,311.59307861328125,222.35546875
2020-02-06,312.6414794921875,224.27488708496094
2020-02-07,310.9751892089844,223.31027221679688
2020-02-10,313.2967224121094,226.00912475585938
2020-02-11,313.8397216796875,226.04811096191406
2020-02-12,315.8617248535156,228.25003051757812
2020-02-13,315.52471923828125,227.9576873779297
2020-02-14,316.0301208496094,228.61048889160156
2020-02-18,315.2157897949219,228.69821166992188
2020-02-19,316.7229309082031,230.89041137695312
2020-02-20,315.4217224121094,228.7469024658203
2020-02-21,312.17340087890625,224.352783203125
2020-02-24,301.8200988769531,215.70095825195312
2020-02-25,292.67425537109375,209.83566284179688
2020-02-26,291.5977478027344,210.91712951660156
2020-02-27,278.50164794921875,200.355712890625
2020-02-28,277.3314514160156,200.51161193847656
2020-03-02,289.3417663574219,210.8586883544922
2020-03-03,281.0571594238281,204.09701538085938
2020-03-04,292.8708801269531,212.61245727539062
2020-03-05,283.1353454589844,206.15284729003906
2020-03-06,278.4547424316406,202.674560546875
2020-03-09,256.7090148925781,188.5958709716797
2020-03-10,269.9923400878906,198.86502075195312
2020-03-11,256.83062744140625,190.20350646972656
2020-03-12,232.2578582763672,172.76344299316406
2020-03-13,252.11270141601562,187.3974609375
2020-03-16,224.52561950683594,164.94955444335938
2020-03-17,236.64820861816406,177.4595947265625
2020-03-18,224.66603088378906,172.0619354248047
2020-03-19,225.14341735839844,173.09474182128906
2020-03-20,215.4410400390625,166.31356811523438
2020-03-23,209.93263244628906,166.43365478515625
2020-03-24,228.9532012939453,179.32186889648438
2020-03-25,232.38067626953125,177.99400329589844
2020-03-26,245.94935607910156,187.3672332763672
2020-03-27,238.6235809326172,180.92311096191406
2020-03-30,246.37306213378906,187.50392150878906
2020-03-31,242.70071411132812,185.90264892578125
2020-04-01,231.7780303955078,178.0037384033203
2020-04-02,237.1264190673828,181.61636352539062
2020-04-03,233.69894409179688,179.03871154785156
2020-04-06,249.3956298828125,191.83901977539062
2020-04-07,249.6498565673828,191.76089477539062
2020-04-08,258.0301513671875,195.8324432373047
2020-04-09,261.9567565917969,196.11558532714844
2020-04-13,259.5650634765625,198.23434448242188
2020-04-14,267.2203063964844,206.85574340820312
2020-04-15,261.5424499511719,204.48316955566406
2020-04-16,262.80419921875,208.2129364013672
2020-04-17,269.9039306640625,210.20474243164062
2020-04-20,265.1487731933594,207.7149658203125
2020-04-21,257.0980529785156,200.0504150390625
2020-04-22,262.80419921875,205.98678588867188
2020-04-23,262.78533935546875,205.5474090576172
2020-04-24,266.4482727050781,208.78897094726562
2020-04-27,270.28997802734375,210.4683380126953
2020-04-28,269.04705810546875,206.50425720214844
2020-04-29,276.0903625488281,213.82711791992188
2020-04-30,273.519775390625,213.73922729492188
2020-05-01,266.2787170410156,207.7149658203125
2020-05-04,267.01324462890625,210.1363983154297
2020-05-05,269.4801940917969,212.51873779296875
2020-05-06,267.65350341796875,213.82711791992188
2020-05-07,270.8832092285156,216.5805206298828
2020-05-08,275.36529541015625,219.5487060546875
2020-05-11,275.42181396484375,221.51121520996094
2020-05-12,269.9322509765625,216.87338256835938
2020-05-13,265.1581726074219,214.15907287597656
2020-05-14,268.33148193359375,216.5902557373047
2020-05-15,269.5650329589844,217.99627685546875
2020-05-18,277.77587890625,222.0579833984375
2020-05-19,274.92279052734375,221.5014190673828
2020-05-20,279.5931091308594,225.92445373535156
2020-05-21,277.662841796875,223.46395874023438
2020-05-22,278.19012451171875,224.2353057861328
2020-05-26,281.6175842285156,223.62997436523438
2020-05-27,285.8078308105469,224.85043334960938
2020-05-28,285.280517578125,224.5575408935547
2020-05-29,286.5516052246094,227.84788513183594
2020-06-01,287.70989990234375,228.5313720703125
2020-06-02,290.09210205078125,230.0642852783203
2020-06-03,293.95269775390625,231.0992431640625
2020-06-04,293.1806640625,229.4784698486328
2020-06-05,300.6946716308594,234.0283966064453
2020-06-08,304.32928466796875,235.84446716308594
2020-06-09,302.0600891113281,237.5531463623047
2020-06-10,300.37457275390625,240.4041290283203
2020-06-11,283.0582580566406,228.49232482910156
2020-06-12,286.4480895996094,230.3084259033203
2020-06-15,289.12225341796875,233.11056518554688
2020-06-16,294.6872253417969,237.11376953125
2020-06-17,293.4631042480469,237.86558532714844
2020-06-18,293.57611083984375,238.50999450683594
2020-06-19,291.8983459472656,238.47093200683594
2020-06-22,293.7709045410156,241.33082580566406
2020-06-23,295.12335205078125,243.38478088378906
2020-06-24,287.5950927734375,238.36724853515625
2020-06-25,290.6783447265625,240.63633728027344
2020-06-26,283.7742614746094,234.9537811279297
2020-06-29,287.9450378417969,237.51634216308594
2020-06-30,291.63348388671875,242.17196655273438
2020-07-01,293.67633056640625,244.99859619140625
2020-07-02,295.2936096191406,246.6613311767578
2020-07-06,299.8521423339844,252.72544860839844
2020-07-07,296.759521484375,250.9844512939453
2020-07-08,299.029296875,254.29034423828125
2020-07-09,297.3269348144531,256.4323425292969
2020-07-10,300.3627624511719,258.1831359863281
2020-07-13,297.761962890625,252.87216186523438
2020-07-14,301.6206970214844,254.66207885742188
2020-07-15,304.3918151855469,255.1803741455078
2020-07-16,303.38934326171875,253.43939208984375
2020-07-17,304.2688293457031,253.73289489746094
2020-07-20,306.7277526855469,260.9314880371094
2020-07-21,307.38037109375,258.2124328613281
2020-07-22,309.1300048828125,259.1220703125
2020-07-23,305.4414978027344,252.35374450683594
2020-07-24,303.474365234375,249.95745849609375
2020-07-27,305.6874694824219,254.41751098632812
2020-07-28,303.7486572265625,251.18006896972656
2020-07-29,307.484375,254.07521057128906
2020-07-30,306.3873291015625,255.40536499023438
2020-07-31,308.8084411621094,259.9632263183594
2020-08-03,310.955322265625,263.4745178222656
2020-08-04,312.156494140625,264.4525451660156
2020-08-05,314.0951843261719,265.1078186035156
2020-08-06,316.1947937011719,268.61920166015625
2020-08-07,316.4217834472656,265.5186767578125
2020-08-10,317.36749267578125,264.38409423828125
2020-08-11,314.74774169921875,259.3763122558594
2020-08-12,319.1360778808594,265.900146484375
2020-08-13,318.5591735839844,266.506591796875
2020-08-14,318.5686950683594,266.19354248046875
2020-08-17,319.5805969238281,269.2842102050781
2020-08-18,320.2710266113281,271.876220703125
2020-08-19,318.9375915527344,270.0471496582031
2020-08-20,319.93060302734375,273.7931823730469
2020-08-21,321.0655212402344,275.6907043457031
2020-08-24,324.31884765625,277.4121398925781
2020-08-25,325.4537658691406,279.5931701660156
2020-08-26,328.7166442871094,285.5594482421875
2020-08-27,329.43536376953125,284.6694030761719
2020-08-28,331.5633239746094,286.1169738769531
2020-08-31,330.36224365234375,288.4154968261719
2020-09-01,333.4738464355469,293.3450012207031
2020-09-02,338.2972106933594,296.1227722167969
